STATION,NAME,DATE,DY,PRCP,TMAX,TMIN
USC00036920,"STUTTGART 9 ESE, AR US",1950-01,1,11.22,58.8,40.2
USC00036920,"STUTTGART 9 ESE, AR US",1950-02,1,5.15,55.7,36.8
USC00036920,"STUTTGART 9 ESE, AR US",1950-03,1,6.86,60.7,37.7
USC00036920,"STUTTGART 9 ESE, AR US",1950-04,1,2.17,68.8,46.7
USC00036920,"STUTTGART 9 ESE, AR US",1950-05,1,4.74,80.2,61.7
USC00036920,"STUTTGART 9 ESE, AR US",1950-06,1,2.82,86.8,67.5
USC00036920,"STUTTGART 9 ESE, AR US",1950-07,1,4.87,88.1,69.3
USC00036920,"STUTTGART 9 ESE, AR US",1950-08,1,8.7,86.6,67.2
USC00036920,"STUTTGART 9 ESE, AR US",1950-09,1,5.41,78,61.4
USC00036920,"STUTTGART 9 ESE, AR US",1950-10,1,1.21,78.2,53.9
USC00036920,"STUTTGART 9 ESE, AR US",1950-11,1,3.86,59.3,34
USC00036920,"STUTTGART 9 ESE, AR US",1950-12,1,2.19,49,28.2
USC00036920,"STUTTGART 9 ESE, AR US",1951-01,1,9.83,53.4,31.8
USC00036920,"STUTTGART 9 ESE, AR US",1951-02,1,3.42,51.7,34
USC00036920,"STUTTGART 9 ESE, AR US",1951-03,1,3.18,61.6,41.6
USC00036920,"STUTTGART 9 ESE, AR US",1951-04,1,2.99,68.3,47.2
USC00036920,"STUTTGART 9 ESE, AR US",1951-05,1,1.73,82.6,57.9
USC00036920,"STUTTGART 9 ESE, AR US",1951-06,1,4.8,86.8,68.7
USC00036920,"STUTTGART 9 ESE, AR US",1951-07,1,6.96,90.8,72.3
USC00036920,"STUTTGART 9 ESE, AR US",1951-08,1,3.09,93.3,71
USC00036920,"STUTTGART 9 ESE, AR US",1951-09,1,3.9,84.9,61.9
USC00036920,"STUTTGART 9 ESE, AR US",1951-10,1,2.61,76.4,51.6
USC00036920,"STUTTGART 9 ESE, AR US",1951-11,1,2.37,57.5,34.6
USC00036920,"STUTTGART 9 ESE, AR US",1951-12,1,4.65,57,34.6
USC00036920,"STUTTGART 9 ESE, AR US",1952-01,1,5.2,57.7,38.7
USC00036920,"STUTTGART 9 ESE, AR US",1952-02,1,3.22,59.9,38.3
USC00036920,"STUTTGART 9 ESE, AR US",1952-03,1,4.94,62.4,38.9
USC00036920,"STUTTGART 9 ESE, AR US",1952-04,1,1.87,70.6,47.9
USC00036920,"STUTTGART 9 ESE, AR US",1952-05,1,3.85,82.3,58.7
USC00036920,"STUTTGART 9 ESE, AR US",1952-06,1,0.06,95.7,71.4
USC00036920,"STUTTGART 9 ESE, AR US",1952-07,1,2.46,97.2,70.4
USC00036920,"STUTTGART 9 ESE, AR US",1952-08,1,3.47,93,70.2
USC00036920,"STUTTGART 9 ESE, AR US",1952-09,1,2.88,86.8,58.4
USC00036920,"STUTTGART 9 ESE, AR US",1952-10,1,0.49,73.2,38.6
USC00036920,"STUTTGART 9 ESE, AR US",1952-11,1,6.31,64.4,37.7
USC00036920,"STUTTGART 9 ESE, AR US",1952-12,1,3.74,53.5,33.2
USC00036920,"STUTTGART 9 ESE, AR US",1953-01,1,3.48,57.3,35.2
USC00036920,"STUTTGART 9 ESE, AR US",1953-02,1,5.24,57.9,35.8
USC00036920,"STUTTGART 9 ESE, AR US",1953-03,1,7.33,67,45.2
USC00036920,"STUTTGART 9 ESE, AR US",1953-04,1,8.16,68.1,47
